User_ID,Age,Gender,Occupation,Game_Type,Daily_Gaming_Hours,Weekly_Gaming_Hours,Primary_Gaming_Time,Sleep_Hours,Stress_Level,Focus_Level,Academic_or_Work_Score,Productivity_Level,Performance_Impact
U0001,21,Male,Working Professional,Action,4.0,28.0,Morning,4.6,6,4,69,66,Negative
U0002,35,Female,Student,Sports,1.0,7.0,Night,5.4,2,7,67,72,Neutral
U0003,26,Male,Student,Puzzle,2.0,14.0,Morning,8.0,4,8,82,82,Positive
U0004,32,Male,Working Professional,Action,1.0,7.0,Night,4.9,7,7,71,66,Neutral
U0005,19,Male,Working Professional,Action,2.1,14.7,Morning,7.0,7,7,67,63,Neutral
U0006,29,Female,Student,Casual,5.3,37.1,Evening,6.0,9,8,78,75,Neutral
U0007,35,Male,Student,Sports,4.4,30.8,Evening,7.2,3,7,95,92,Neutral
U0008,25,Male,Working Professional,Sports,2.0,14.0,Evening,8.2,5,8,75,70,Positive
U0009,32,Male,Working Professional,Strategy,0.9,6.3,Morning,8.2,7,4,86,87,Positive
U0010,25,Male,Working Professional,Action,4.6,32.2,Morning,6.7,8,7,80,80,Neutral
U0011,20,Female,Working Professional,Simulation,5.2,36.4,Evening,5.1,4,9,82,86,Negative
U0012,35,Female,Working Professional,Action,3.4,23.8,Evening,8.4,2,8,62,67,Neutral
U0013,21,Female,Student,Strategy,2.9,20.3,Evening,6.3,6,7,66,69,Neutral
U0014,18,Male,Working Professional,Puzzle,4.7,32.9,Morning,6.7,2,7,75,77,Neutral
U0015,35,Male,Student,Casual,0.8,5.6,Evening,8.0,3,3,86,82,Positive
U0016,27,Female,Working Professional,Sports,5.7,39.9,Night,5.2,8,4,89,87,Negative
U0017,35,Male,Student,Action,3.0,21.0,Morning,5.5,3,5,56,60,Neutral
U0018,34,Male,Working Professional,Casual,4.4,30.8,Evening,4.7,3,3,76,72,Negative
U0019,24,Male,Student,Casual,1.7,11.9,Evening,5.0,9,4,85,86,Neutral
U0020,30,Female,Student,Strategy,2.4,16.8,Morning,6.1,2,8,61,56,Neutral
U0021,25,Male,Working Professional,Simulation,1.5,10.5,Morning,6.3,8,4,72,74,Neutral
U0022,31,Female,Working Professional,Strategy,0.8,5.6,Evening,8.5,2,3,70,67,Positive
U0023,27,Female,Working Professional,Strategy,5.5,38.5,Morning,5.2,2,6,71,73,Negative
U0024,19,Female,Student,Action,2.1,14.7,Night,8.4,2,8,75,70,Neutral
U0025,21,Male,Student,Simulation,0.9,6.3,Morning,5.2,3,8,70,71,Neutral
U0026,28,Male,Working Professional,Sports,2.8,19.6,Morning,6.8,7,5,68,73,Neutral
U0027,32,Male,Student,Simulation,4.2,29.4,Morning,5.7,7,9,59,54,Negative
U0028,27,Male,Working Professional,Simulation,3.3,23.1,Night,5.0,7,3,70,70,Neutral
U0029,21,Male,Working Professional,Action,2.2,15.4,Morning,8.4,2,8,90,89,Neutral
U0030,24,Female,Working Professional,Puzzle,4.6,32.2,Morning,5.1,6,7,68,68,Negative
U0031,22,Female,Student,Casual,1.0,7.0,Evening,6.2,6,3,55,55,Neutral
U0032,35,Male,Working Professional,Simulation,3.5,24.5,Night,6.2,2,3,59,56,Neutral
U0033,24,Male,Student,Puzzle,1.3,9.1,Night,5.0,6,5,57,57,Neutral
U0034,31,Male,Student,Casual,5.4,37.8,Evening,6.1,4,4,65,62,Neutral
U0035,30,Male,Working Professional,Strategy,4.8,33.6,Morning,6.1,5,5,65,61,Neutral
U0036,18,Male,Working Professional,Puzzle,5.0,35.0,Evening,6.3,6,9,69,67,Neutral
U0037,35,Female,Student,Action,5.3,37.1,Evening,8.4,6,5,87,88,Neutral
U0038,31,Female,Working Professional,Sports,1.5,10.5,Night,8.4,6,3,61,65,Positive
U0039,18,Male,Working Professional,Sports,5.9,41.3,Morning,5.0,5,5,57,58,Negative
U0040,34,Female,Working Professional,Puzzle,5.7,39.9,Evening,8.2,7,8,62,61,Neutral
U0041,23,Female,Working Professional,Simulation,4.3,30.1,Morning,6.7,5,6,79,84,Neutral
U0042,24,Female,Student,Casual,2.2,15.4,Morning,5.3,7,6,83,85,Neutral
U0043,27,Male,Student,Strategy,2.1,14.7,Morning,7.2,7,3,70,75,Neutral
U0044,24,Female,Working Professional,Sports,0.8,5.6,Morning,8.4,3,6,81,86,Positive
U0045,23,Female,Student,Simulation,1.3,9.1,Morning,7.3,3,9,82,80,Positive
U0046,34,Female,Working Professional,Simulation,5.5,38.5,Night,5.0,4,9,84,89,Negative
U0047,26,Male,Working Professional,Simulation,5.4,37.8,Evening,6.2,9,4,85,87,Neutral
U0048,26,Female,Working Professional,Simulation,3.9,27.3,Morning,5.6,3,8,73,71,Neutral
U0049,31,Female,Working Professional,Simulation,1.3,9.1,Evening,5.4,4,8,68,64,Neutral
U0050,30,Female,Student,Puzzle,2.8,19.6,Evening,5.3,8,6,92,87,Neutral
U0051,25,Female,Student,Puzzle,4.6,32.2,Evening,7.9,8,7,89,93,Neutral
U0052,22,Male,Working Professional,Simulation,3.2,22.4,Night,6.1,8,8,65,67,Neutral
